title,link,authors,publication,citation_id
An integrated global programme to establish relationships among the breeds of each animal species,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:QsKbpXNoaWkC,"JSF Barker, DG Bradley, R Fries, WG Hill, M Nei, RK Wayne","FAO Animal Production and Health Paper, FAO, Rome, 1993",VxOmZDgAAAAJ:QsKbpXNoaWkC
The American Society of naturalists,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:XDrR66g3YHsC,M Nei,"Am Nat 106, 283-292, 1973",VxOmZDgAAAAJ:XDrR66g3YHsC
The reliability and stability of an inferred phylogenetic tree from empirical data,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:zwpXiJ37cpgC,"Y Katsura, CE Stanley Jr, S Kumar, M Nei","Molecular Biology and Evolution 34 (3), 718-723, 2017",VxOmZDgAAAAJ:zwpXiJ37cpgC
Current topics on molecular evolution,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:F2UWTTQJPOcC,"M Nei, N Takahata","Proceedings of the US-Japan Workshop, Hayama, Japan, Institute of Molecular …, 1996",VxOmZDgAAAAJ:F2UWTTQJPOcC
Reconstruction of phylogenetic trees and evolution of major histocompatibility complex genes,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:hCrLmN-GePgC,"M Nei, A Rzhetsky","Molecular evolution of the major histocompatibility complex, 13-27, 1991",VxOmZDgAAAAJ:hCrLmN-GePgC
Genes in populations,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:60iIaj97TE0C,M Nei,"Molecular Evolutionary Genetics, 149-175, 1987",VxOmZDgAAAAJ:60iIaj97TE0C
Estimation of fitness reduction due to a chronic disease in man,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:anf4URPfarAC,"M Nei, S Yokoyama","Annals of Human Genetics 45 (3), 261-265, 1981",VxOmZDgAAAAJ:anf4URPfarAC
COMPARATIVE-STUDY OF GENETIC-VARIATION WITHIN AND BETWEEN POPULATIONS UNDER NEUTRAL MUTATION HYPOTHESIS AND MODEL OF SEQUENTIALLY ADVANTAGEOUS MUTATIONS,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:kWvqk_afx_IC,"R Chakraborty, PA Fuerst, M Nei","Genetics 86 (2), S10-S11, 1977",VxOmZDgAAAAJ:kWvqk_afx_IC
Efficiency of selection for increased or decreased recombination,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:9pM33mqn1YgC,"M Nei, Y Imaizumi","The American Naturalist 102 (923), 90-93, 1968",VxOmZDgAAAAJ:9pM33mqn1YgC
Estimation of recessive gene frequencies from data on consanguineous marriages,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:8d8msizDQcsC,M Nei,"American Journal of Human Genetics 15 (1), 86, 1963",VxOmZDgAAAAJ:8d8msizDQcsC
Where do we come from? The molecular evidence for human descent,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:EsEWqaRxkBgC,M Nei,"Nature 417 (6892), 899-900, 2002",VxOmZDgAAAAJ:EsEWqaRxkBgC
Genetic studies on the origin of modern humans,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:_FM0Bhl9EiAC,M Nei,"The origins and past of modern humans—towards reconciliation. Singapore …, 1996",VxOmZDgAAAAJ:_FM0Bhl9EiAC
Genes and mutation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:TGkaJS32XoUC,M Nei,"Molecular Evolutionary Genetics, 19-38, 1987",VxOmZDgAAAAJ:TGkaJS32XoUC
Average distance method (UPGMA).,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:z8nqeaKD1nsC,M Nei,"Molecular evolutionary genetics, 293-298, 1987",VxOmZDgAAAAJ:z8nqeaKD1nsC
On the positive identification of paternity,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:4aZ_i-5WJEQC,M Nei,"Human heredity, 258-260, 1984",VxOmZDgAAAAJ:4aZ_i-5WJEQC
Augmentation algorithm: A reply to holmquist,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:FAceZFleit8C,"M Nei, Y Tateno","Journal of Molecular Evolution 13 (2), 167-171, 1979",VxOmZDgAAAAJ:FAceZFleit8C
The test of significance for heritability estimates,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:hvmnpdAuIbkC,M NEI,"Japanese Journal of Breeding 5 (4), 213-219, 1956",VxOmZDgAAAAJ:hvmnpdAuIbkC
Motoo Kimura (1924-1994).,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:BzfGm06jWhQC,M Nei,"Molecular biology and evolution 12 (5), 719-722, 1995",VxOmZDgAAAAJ:BzfGm06jWhQC
Polymorphism due to balancing selection at the major histocompatibility complex loci.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:iyewoVqAXLQC,M Nei,"The Unity of Evolutionary Biology, 878-889, 1991",VxOmZDgAAAAJ:iyewoVqAXLQC
免疫球蛋白重链可变段和 T 细胞受体可变段的分子进化研究,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:hNSvKAmkeYkC,吕宝忠， M Nei,"遗传学报 16 (002), 140-150, 1989",VxOmZDgAAAAJ:hNSvKAmkeYkC
"Strategy for resolving the branching order of humans, chimpanzees and gorillas by using DNA-sequence data",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:HGTzPopzzJcC,"N Saitou, M Nei","AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY 69 (2), 260-260, 1986",VxOmZDgAAAAJ:HGTzPopzzJcC
Estimation of evolutionary distance between nucleotide-sequences,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:jE2MZjpN3IcC,"F Tajima, M Nei","Japanese Journal of Genetics 58 (6), 684-685, 1983",VxOmZDgAAAAJ:jE2MZjpN3IcC
Statistical Studies of Protein Polymorphism,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:DUooU5lO8OsC,"M Nei, R Chakraborty, PA Fuerst","Genetics 97 (2), 494, 1981",VxOmZDgAAAAJ:DUooU5lO8OsC
UTILITY OF LINKED MARKER GENES FOR GENETIC-COUNSELING WHEN LINKAGE DISEQUILIBRIUM IS PRESENT,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:CdxZDUztZiMC,"A Chakravarti, M Nei","AMERICAN JOURNAL OF HUMAN GENETICS 31 (6), A121-A121, 1979",VxOmZDgAAAAJ:CdxZDUztZiMC
The genetic variance and heritability in partially allogamous plant populations.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:RuPIJ_LgqDgC,"M NEI, K SYAKUDO","Japanese Journal of Breeding 7 (4), 221-227, 1958",VxOmZDgAAAAJ:RuPIJ_LgqDgC
GENETIC ANALYSIS OF COVARIATION IN QUANTITATIVE CHARACTERS I. THE COMPONENTS OF COVARIANCE AND THE TEST OF CHANGE IN CORRELATION,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:EPG8bYD4jVwC,"M NEi, K SYAKUDO","The Japanese Journal of Genetics 31 (7), 201-206, 1956",VxOmZDgAAAAJ:EPG8bYD4jVwC
"Tajima. F. and Tateno, Y. 1983. Accuracy of estimated phylogenetic trees from molecular data H. Gene frequency data",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:g_UdREhPGEoC,M Nei,"Journal of Molecular Evolution, 19,153-170, 0",VxOmZDgAAAAJ:g_UdREhPGEoC
Darwin 200: Great expectations,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:YlPif8NxrbYC,"PA Gowaty, I Serageldin, PE Persson, N Eldredge, M Lynch, M Nei, ...","Nature Publishing Group, 2008",VxOmZDgAAAAJ:YlPif8NxrbYC
"molecular evolutionary genetics analysis, version 1.01",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:7H_jS4BsgvYC,"S Kumur, K Tamura, N Masatoshi","The Pensylvania State University, University Park, PA, USA, 1993",VxOmZDgAAAAJ:7H_jS4BsgvYC
populations and conservation genetics,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:rqnDXT1GswoC,"R Chakraborty, M Nei","Heredity 97, 189-198, 1986",VxOmZDgAAAAJ:rqnDXT1GswoC
DNA POLYMORPHISM DETECTABLE BY RESTRICTION ENDONUCLEASES1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:6ZzL7HXColQC,N Masatoshi,"Genetics 97 (14), 5-163, 1981",VxOmZDgAAAAJ:6ZzL7HXColQC
Mathematical model for studing genetic variation in terms of restoriction endonuclease.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:NJ774b8OgUMC,M Nei,"Proc. Natl. Acad. Sci. USA 89, 147-181, 1979",VxOmZDgAAAAJ:NJ774b8OgUMC
Ewens on the Substitution Load,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:6ZxmRoH8BuwC,M Nei,"The American Naturalist 107 (955), 459-462, 1973",VxOmZDgAAAAJ:6ZxmRoH8BuwC
"Columbia University Press, New York, NY, USA; 1987",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:4Yq6kJLCcecC,M Nei,"Molecular Evolutionary Genetics 512, 0",VxOmZDgAAAAJ:4Yq6kJLCcecC
My Memory of Walter Fitch (1929–2011) and Starting Molecular Biology and Evolution,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:w0F2JDEymm0C,M Nei,"Molecular Biology and Evolution 31 (6), 1329-1332, 2014",VxOmZDgAAAAJ:w0F2JDEymm0C
Darwinism and the theory of mutation-driven evolution,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:oi2SiIJ9l4AC,M Nei,"Genes & Genetic Systems 88 (6), 331-331, 2013",VxOmZDgAAAAJ:oi2SiIJ9l4AC
Origins and evolution of microRNA genes in plants,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:ALROH1vI_8AC,"M Nozawa, S Miura, M Nei","Genes & Genetic Systems 85 (6), 398-398, 2010",VxOmZDgAAAAJ:ALROH1vI_8AC
Software for constructing population trees from allele frequency data and computing other population statistics with Window-interface,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:BAanoTsO0WEC,"N Takezaki, N Masatoshi, T Koichiro","Mol Biol Evol, 2009",VxOmZDgAAAAJ:BAanoTsO0WEC
Evolutionary distance: estimation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:Vr2j17o0sqMC,"J Zhang, M Nei","Encyclopedia of the Human Genome. Wiley, 2003",VxOmZDgAAAAJ:Vr2j17o0sqMC
Evolutionary relationships of European Asians and Africans and origin of modern Homo sapiens,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:sfnaS5RM6jYC,M Nei,"Population Biology of Genes and Molecules, 251-265, 1990",VxOmZDgAAAAJ:sfnaS5RM6jYC
Human Polymorphic Genes: World Distribution,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:txeM2kYbVNMC,"AK Roychodhury, M Nei",,VxOmZDgAAAAJ:txeM2kYbVNMC
In: EVOLUTIONARY DYNAMICS OF GENETIC DIVERSITY,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:x21FZCSn4ZoC,M Nei,,VxOmZDgAAAAJ:x21FZCSn4ZoC
In: VITO VOLTERRA SYMPOSIUM OF MATHEMATICAL MODELS IN BIOLOGY,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:jlhcAiayVhoC,M Nei,,VxOmZDgAAAAJ:jlhcAiayVhoC
The bottleneck effect and genetic variability in population size using data from microsatellite DNA,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:s9ia6_kGH2AC,M Nei,"Mol Ecol 10, 305-318, 1975",VxOmZDgAAAAJ:s9ia6_kGH2AC
Estimation of mutation rate in rare recessive traits,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:0izLItjtcgwC,"M Nei, Y Imaizumi","American Journal of Human Genetics 15 (1), 90, 1963",VxOmZDgAAAAJ:0izLItjtcgwC
EFFECTS OF LINKAGE AND EPISTASIS ON EQUILIBRIUM FREQUENCIES OF LETHAL GENES,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:jFemdcug13IC,M Nei,"JAPANESE JOURNAL OF GENETICS 38 (3), 197-&, 1963",VxOmZDgAAAAJ:jFemdcug13IC
Theoretical Population Biology,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:jmjb1lOE9QIC,"JF Crow, N Keyfitz, NTJ Bailey, W Bodmer, J Bourgeois-Pichat, ...",,VxOmZDgAAAAJ:jmjb1lOE9QIC
GENETIC STRUCTURE OF HUMAN POPULATIQNS,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:ZqE1mSdD_DYC,"M NEI, Y IMAIZUMI",,VxOmZDgAAAAJ:ZqE1mSdD_DYC
CI. 7 Balanced polymorphism and evolution by the birth-and-death process in the MHG loci,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:ghEM2AJqZyQC,"M NEI, AL HUGHES","Proceedings of the Eleventh International Histocompatibility Workshop and …, 0",VxOmZDgAAAAJ:ghEM2AJqZyQC
The reproducibility of an inferred tree and the diploidization of gene segregation after genome duplication,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:W2uZP3ddy8sC,"Y Katsura, M Nei","Genome biology and evolution 12 (2), 3792-3796, 2020",VxOmZDgAAAAJ:W2uZP3ddy8sC
Brief Communication POPTREEW: Web version of POPTREE for constructing population trees from allele frequency data and computing some other quantities,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:-6RzNnnwWf8C,"N Takezaki, M Nei, K Tamura",,VxOmZDgAAAAJ:-6RzNnnwWf8C
Jusun Hwang and Nicole L. Gottdenker,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:j7_hQOaDUrUC,"G Stecher, M Nei, S Kumar","Onderstepoort J Vet Res 79, E1-8, 2012",VxOmZDgAAAAJ:j7_hQOaDUrUC
"Molecular evolution and phylogenetics Molecular evolution and phylogenetics, 2000",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:n3vGvpFsckwC,"Y Niimura, M Nei","Journal of human genetics 51 (6), 505-517, 2006",VxOmZDgAAAAJ:n3vGvpFsckwC
"Selectionism and neutralism in molecular evolution (vol 22, pg 2318, 2005)",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:nPTYJWkExTIC,M Nei,"MOLECULAR BIOLOGY AND EVOLUTION 23 (5), 1095-1095, 2006",VxOmZDgAAAAJ:nPTYJWkExTIC
Adaptive evolution of the variable region genes of an unusual type of immunoglobulins in camelids.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:RXiHnyRawswC,"C Su, VK Nguyen, M Nei",,VxOmZDgAAAAJ:RXiHnyRawswC
POLYMORPHISM AND EVOLUTION BY A BIRTH-AND-DEATH PROCESS IN MHC GENES,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:RtRctb2lSbAC,M Nei,"The Journal of Animal Genetics 28 (Supplement), 1-2, 2000",VxOmZDgAAAAJ:RtRctb2lSbAC
"Genome Diversity and Evolution: AGA Symposium Issue, the Pennsylvania State University, University Park, PA, June 12-13, 1999",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:ndLnGcHYRF0C,M Nei,"Oxford University Press, 2000",VxOmZDgAAAAJ:ndLnGcHYRF0C
"Institute of Molecular Evolutionary Genetics and Department of Biology The Pennsylvania State University University Park, PA 16802 USA",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:SpPTWFSNUtQC,M Nei,"Origins And Past Of Modern Humans, The: Towards Reconciliation 3, 27, 1998",VxOmZDgAAAAJ:SpPTWFSNUtQC
"KIMURA, MOTOO (1924-1994)",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:oTdOBqtIf_kC,M NEI,"MOLECULAR BIOLOGY AND EVOLUTION 12 (5), 719-722, 1995",VxOmZDgAAAAJ:oTdOBqtIf_kC
"The History and Geography of Human Genes-edited by LL Cavalli-Sforza, P. Menozzi and A. Piazza Princeton University Press, 1994. &120. 00/$150.00 hbk (viii+ 1068 pages) ISBN 0 …",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:WwIwg2wKZ0QC,M Nei,"Trends in Genetics 11 (7), 292-293, 1995",VxOmZDgAAAAJ:WwIwg2wKZ0QC
The History and Geography of Human Genes,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:__bU50VfleQC,M Nei,"Trends in Genetics 7 (11), 292-293, 1995",VxOmZDgAAAAJ:__bU50VfleQC
Human Populations,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:CMvovTBb2okC,M NEI,"Genetics of Cellular, Individual, Family, and Population Variability, 239, 1993",VxOmZDgAAAAJ:CMvovTBb2okC
"PAPERS FROM THE INTERNATIONAL-CONFERENCE ON MOLECULAR EVOLUTION, HELD AT UNIVERSITY-PARK, PENNSYLVANIA, JUNE 11-14, 1992-FORWARD",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:pYKElYtJMmwC,"M NEI, TS WHITTAM","MOLECULAR BIOLOGY AND EVOLUTION 10 (1), 1-1, 1993",VxOmZDgAAAAJ:pYKElYtJMmwC
PRESIDENT OF THE ACADEMY,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:JWITY9-sCbMC,M Nei,,VxOmZDgAAAAJ:JWITY9-sCbMC
A bibliography on computational molecular biology and genetics,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:GYcXSSpN504C,"M Nei, T Blumenthal",,VxOmZDgAAAAJ:GYcXSSpN504C
Making Methods for Molecular Data,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:NxmKEeNBbOMC,M NEI,"Phylogenetic Analysis of DNA Sequences, 90, 1991",VxOmZDgAAAAJ:NxmKEeNBbOMC
"US $19.95, 196 pp Population Genetics, FB Christiansen, MW Feldman, Blackwell Scientific Publications, New York (1986) US $28.95 ($15.95 paperback), 273 pp Basic Concepts in …",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:pQTOvowfQioC,M Nei,"Bulletin of Mathematical Biology 50 (2), 200-201, 1988",VxOmZDgAAAAJ:pQTOvowfQioC
Population Genetics Theory: Deterministic Models,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:vVJNg6_NJEsC,M Nei,"Molecular Evolutionary Genetics, 327-351, 1987",VxOmZDgAAAAJ:vVJNg6_NJEsC
Population Genetics Theory: Stochastic Models,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:3lUAU8Oskd0C,M Nei,"Molecular Evolutionary Genetics, 352-403, 1987",VxOmZDgAAAAJ:3lUAU8Oskd0C
Genomic Evolution,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:xyvS_IvSCKsC,M Nei,"Molecular Evolutionary Genetics, 111-148, 1987",VxOmZDgAAAAJ:xyvS_IvSCKsC
Implications for Evolutionary Theory,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:KI9T_ytC6pkC,M Nei,"Molecular Evolutionary Genetics, 404-432, 1987",VxOmZDgAAAAJ:KI9T_ytC6pkC
Statistical testing in dermatoglyphic studies,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:KWzIFqRkAKkC,"R Dahlqvist, N Fröhlander, K Shimizu, H Keino, A Mizutani, T Itoh, ...","Human heredity 35 (4), 271-272, 1985",VxOmZDgAAAAJ:KWzIFqRkAKkC
Workshop on DNA polymorphisms.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:L24QuVWYgZ0C,"L Cavalli-Sforza, K Davies, K Smith, P Pearson, P Gerald, S Naylor, ...","Progress in clinical and biological research 103, 79-81, 1982",VxOmZDgAAAAJ:L24QuVWYgZ0C
Evolution of pseudogenes and its relevance to the neutrality vs selection controversy,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:WWeOtg8bX_EC,"WH Li, T Gojobori, M Nei","Genetics 97 (1), 1981",VxOmZDgAAAAJ:WWeOtg8bX_EC
"University of Texas at Houston, Houston, Texas 77025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:tz746QTLzJkC,M Nei,"Vito Volterra Symposium on Mathematical Models in Biology: Proceedings of a …, 1980",VxOmZDgAAAAJ:tz746QTLzJkC
In a study of the number of gene differences between related species,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:rbGdIwl2e6cC,M NEI,"Stochastic Models in Population Genetics 7, 258, 1977",VxOmZDgAAAAJ:rbGdIwl2e6cC
Drift Variances of FSTiand GST Statistics Obtained from a Finite Number of Isolated Populations,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=300&pagesize=100&citation_for_view=VxOmZDgAAAAJ:g8uWPOAv7ggC,NEI MASATOSHI,,VxOmZDgAAAAJ:g8uWPOAv7ggC
